Wall time,Step,Value
1495647714.882668,39999,0.0
1495649742.773462,59999,0.0
1495652123.632559,79999,0.0
1495654911.683028,99999,0.0
1495657890.71182,119999,0.0
1495660897.730569,139999,0.0
1495663912.797872,159999,0.0
1495666923.121905,179999,0.0
1495669938.979652,199999,0.0
1495672818.813872,219999,0.0
1495675776.757278,239999,0.0
1495678736.826261,259999,0.0
1495681682.03924,279999,0.0
1495684579.825888,299999,0.0
1495687497.289335,319999,0.0
1495690442.326295,339999,0.0
1495693341.128397,359999,0.0
1495696198.177895,379999,0.0
1495699082.134872,399999,0.0
1495702012.158013,419999,0.0
1495704957.319313,439999,0.0
1495707817.373868,459999,0.0
1495710679.527031,479999,0.0
1495713539.607439,499999,0.0
1495716382.988835,519999,0.0
1495719224.495325,539999,0.0
1495722079.487136,559999,0.0
1495724907.073858,579999,0.0
1495727644.376837,599999,0.0
1495730371.164331,619999,0.0
1495733090.54825,639999,0.0
1495735828.565397,659999,0.0
1495738583.433391,679999,0.0
1495741287.350777,699999,0.0
1495743932.204488,719999,0.0
1495746580.334462,739999,0.0
1495749221.133031,759999,0.0
1495751861.045049,779999,0.0
1495754504.319432,799999,0.0
1495757147.817656,819999,0.0
1495759791.968401,839999,0.0
1495762435.098928,859999,0.0
1495765075.06598,879999,0.0
1495767718.335793,899999,0.0
1495770360.294499,919999,0.0
1495773002.137002,939999,0.0
1495775884.630223,959999,0.0
1495778844.224483,979999,0.0
1495781803.483093,999999,0.0
1495784751.446045,1019999,0.0
1495787703.047733,1039999,0.0
1495790669.443335,1059999,0.0
1495793603.652994,1079999,0.0
1495796547.982031,1099999,0.0
1495799487.48244,1119999,0.0
1495802410.670457,1139999,0.0
1495805324.100103,1159999,0.0
1495808235.192649,1179999,0.0
1495811160.162007,1199999,0.0
1495814095.020722,1219999,0.0
1495817025.968471,1239999,0.0
1495819954.33411,1259999,0.0
1495822908.679581,1279999,0.0
1495825866.635046,1299999,0.0
1495828825.727476,1319999,0.0
1495831784.643505,1339999,0.0
1495834734.638441,1359999,0.0
1495837676.729929,1379999,0.0
1495840623.844464,1399999,0.0
1495843571.076879,1419999,0.0
1495846527.614788,1439999,0.0
1495849483.176935,1459999,0.0
1495852443.137646,1479999,0.0
1495855402.122443,1499999,0.0
1495858354.303716,1519999,0.0
1495861283.71575,1539999,0.0
1495864196.72499,1559999,0.0
1495867103.734727,1579999,0.0
1495870007.334541,1599999,0.0
1495872910.222835,1619999,0.0
1495875832.523101,1639999,0.0
1495878754.136772,1659999,0.0
1495881668.269306,1679999,0.0
1495884586.536195,1699999,0.0
1495887499.680613,1719999,0.0
1495890437.64607,1739999,0.0
1495893419.614437,1759999,0.0
1495896402.010886,1779999,0.0
1495899373.871287,1799999,0.0
1495902335.274503,1819999,0.0
1495905266.421038,1839999,0.0
1495908214.943588,1859999,0.0
1495911165.922489,1879999,0.0
1495914112.707971,1899999,0.0
1495917062.49815,1919999,0.0
1495920008.889872,1939999,0.0
1495922959.311842,1959999,0.0
1495925907.277329,1979999,0.0
1495928852.635688,1999999,0.0
1495931759.588792,2019999,0.0
1495934634.404696,2039999,0.0
1495937497.494867,2059999,0.0
1495940358.283702,2079999,0.0
1495943228.18474,2099999,0.0
1495946103.294609,2119999,0.0
1495948975.664565,2139999,0.0
1495951844.655309,2159999,0.0
1495954693.303003,2179999,0.0
1495957534.29298,2199999,0.0
1495960376.882541,2219999,0.0
1495963211.494579,2239999,0.0
1495966039.170096,2259999,0.0
1495968957.176903,2279999,0.0
1495971855.248008,2299999,0.0
1495974696.055832,2319999,0.0
1495977586.333741,2339999,0.0
1495980503.927229,2359999,0.0
1495983421.319822,2379999,0.0
1495986357.047119,2399999,0.0
1495989272.899898,2419999,0.0
1495992170.572616,2439999,0.0
1495995062.018853,2459999,0.0
1495997952.996302,2479999,0.0
1496000860.66212,2499999,0.0
1496003763.369205,2519999,0.0
1496006667.817392,2539999,0.0
1496009570.418186,2559999,0.0
1496012434.683752,2579999,0.0
1496015242.171595,2599999,0.0
1496018052.08071,2619999,0.0
1496020850.029837,2639999,0.0
1496023637.800731,2659999,0.0
1496026450.726094,2679999,0.0
1496029262.493255,2699999,0.0
1496032076.490108,2719999,0.0
1496034883.045414,2739999,0.0
1496037694.087536,2759999,0.0
1496040499.835877,2779999,0.0
1496043323.338219,2799999,0.0
1496046166.365861,2819999,0.0
1496049064.326778,2839999,0.0
1496052004.896748,2859999,0.0
1496054960.386134,2879999,0.0
1496057889.98836,2899999,0.0
1496060824.182524,2919999,0.0
1496063754.445198,2939999,0.0
1496066686.306797,2959999,0.0
1496069612.734128,2979999,0.0
1496072537.269989,2999999,0.0
1496075454.875142,3019999,0.0
1496078366.898913,3039999,0.0
1496081284.21698,3059999,0.0
1496084196.471699,3079999,0.0
1496087116.604813,3099999,0.0
1496090052.219637,3119999,0.0
1496092976.017289,3139999,0.0
1496095914.908881,3159999,0.0
1496098860.814924,3179999,0.0
1496101811.66998,3199999,0.0
1496104718.809903,3219999,0.0
1496107621.286775,3239999,0.0
1496110548.648449,3259999,0.0
1496113479.86969,3279999,0.0
1496116412.883655,3299999,0.0
1496119292.933222,3319999,0.0
1496122171.56688,3339999,0.0
1496125043.821122,3359999,0.0
1496127920.40504,3379999,0.0
1496130807.546291,3399999,0.0
1496133691.515153,3419999,0.0
1496136571.693718,3439999,0.0
1496139455.330443,3459999,0.0
1496142334.695021,3479999,0.0
1496145210.279651,3499999,0.0
1496148093.166021,3519999,0.0
1496150982.388905,3539999,0.0
1496153857.750918,3559999,0.0
1496156771.055118,3579999,0.0
1496159755.458794,3599999,0.0
1496162750.330304,3619999,0.0
1496165722.735217,3639999,0.0
1496168577.827548,3659999,0.0
1496171454.500002,3679999,0.0
1496174326.872467,3699999,0.0
1496177200.892438,3719999,0.0
1496180090.608185,3739999,0.0
1496182991.860208,3759999,0.0
1496185885.954206,3779999,0.0
1496188798.362579,3799999,0.0
1496191716.116081,3819999,0.0
1496194627.750501,3839999,0.0
1496197526.260875,3859999,0.0
1496200416.591684,3879999,0.0
1496203309.238596,3899999,0.0
1496206201.026706,3919999,0.0
1496209113.373255,3939999,0.0
1496212046.408469,3959999,0.0
1496214992.375961,3979999,0.0
1496217937.51059,3999999,0.0
1496220889.283411,4019999,0.0
1496223850.228118,4039999,0.0
1496226818.702723,4059999,0.0
1496229771.6781,4079999,0.0
1496232750.029204,4099999,0.0
1496235731.820479,4119999,0.0
1496238740.583214,4139999,0.0
1496241757.187442,4159999,0.0
1496244735.570773,4179999,0.0
1496247618.764493,4199999,0.0
1496250516.194819,4219999,0.0
1496253461.410029,4239999,0.0
1496256414.332204,4259999,0.0
1496259364.066559,4279999,0.0
1496262315.213576,4299999,0.0
1496265263.180963,4319999,0.0
1496268214.342325,4339999,0.0
1496271165.464084,4359999,0.0
1496274110.987099,4379999,0.0
